newStore,%black,%spanishsp,%inc0-10,%inc10-14,%inc14-20,%inc20-30,%inc30-50,%inc50-100,%inc100+,medianinc,medianrent,medianhome,%owners,%nocars,%1car,%tvs,%washers,%dryers,%dishw,%aircond,%freezer,%sechome,%sch0-8,%sch9-11,%sch12,%sch12+,population,familysize,selling_sqrft (in 1000s),sales (in $1000s),percent_hard_goods,comtype
A,40,13.8,26.6,14,19.9,23.9,13.3,2,0.3,16838,160,46790,10.1,57,36.6,90,41.8,9,6,17.9,6.1,1.6,37.4,24.1,29,3.9,955000,3.7,125,,,1
B,13.8,6.6,19.2,13,22.2,27.1,15.7,2.5,0.3,18802,166,36058,10.7,44,45.7,93.6,53.6,12.2,4.6,39.3,5,4.6,40.1,23.5,25.5,5.7,431285,3.5,120,,,5
